Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	11	Samsung Smart Tv 65 Qled 4k Q70c 2023 Modo Game Som Em Mov	1571385057		5511.92	5511.89	Televisao	2023-10-04
		Smart Tv 75 4k Lg Nanocell Thinq Ai Alexa Google Assistente 7	1571511319		6998.96		Televisao	2023-10-04
Oferta	22	Smart Tv 65 4k Lg Nanocell Thinq Ai, Alexa, Google Assistente	1571511318		4949.52	4949.50	Televisao	2023-10-04
Oferta	27	Smart Tv 58 Philco 4k Ptv58g10ag11sk Android Tv Hdr Bivolt	1570679924		2899.92	2899.90	Televisao	2023-10-04
Oferta	10	Smart Tv Semp 32 Led Hd Roku Wifi Dual Band 32r6500 – Bivolt	1571045104		1460.40	1314.33	Televisao	2023-10-04
		Smart Tv Led 32 Polegadas Aoc Roku Hd Com Wifi Entradas Hdmi	1567054677		2198.96		Televisao	2023-10-04
		Smart Tv Toshiba 65 Polegadas 4k 65c350l	1570903611		4098.96		Televisao	2023-10-04
		Smart Tv Lg 55 4k Quantum Dot Nanocell Com Inteligência Arti	1571377262		4998.00		Televisao	2023-10-04
		Smart Tv Samsung 70 Crystal Uhd 4k 70cu8000 2023 Painel Dyn	1571333652		7898.96		Televisao	2023-10-04
		Smart Tv Led 43 Google Tv Ultra Hd 4k Tcl 43p635 Comando De	1570851242		2494.96		Televisao	2023-10-04
		Smart Tv Tcl 65 4k Uhd Hdr Dolby Vision Borda Fina 65p735 –	1570851240		2848.00		Televisao	2023-10-04
		Samsung Smart Tv Tizen Fhd T5300 2020 Hdr 43	1567043702		1898.96		Televisao	2023-10-04
		Smart Tv 43pfg6918 43 Polegadas Full Hd Borderless Android Ph	1571598068		1899.92		Televisao	2023-10-04
		Smart Tv Android Led 32 Full Hd Tcl 32s5400af Google Assista	1571535138		1488.96		Televisao	2023-10-04
Oferta	35	Samsung Smart Tv 55 Qled The Frame 2022 55ls03b Tela Matte	1569938131		4398.96	4399.00	Televisao	2023-10-04
Oferta	10	Smart Tv Tcl 50 4k Uhd Hdr Google Assistant Borda Fina 506p6	1570652192		2378.00	2140.20	Televisao	2023-10-04
		Samsung Smart Tv 65 Qled 4k Q65c 2023 Modo Game Som Em Mov	1571385056		4698.96		Televisao	2023-10-04
Oferta	10	Smart Tv 58 Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi	1571199451		3298.00	2968.20	Televisao	2023-10-04
		Smart Tv Lg 32 Fhd Com Inteligência Artificial 32lq620bpsb –	1570476645		1544.88		Televisao	2023-10-04
		Smart Tv Samsung 50 Uhd 4k 50cu7700 2023 Processador Crysta	1571333656		2498.96		Televisao	2023-10-04
		Smart Tv 43 Lg 4k Uhd Thinq Ai Hdr Bluetooth Alexa Google As	1571592318		2398.96		Televisao	2023-10-04
		Smart Tv Lg 4k Nanocell 50 Polegadas 50nano77sra Bluetooth,	1571511321		2368.00		Televisao	2023-10-04
		Smart Tv 50 Philco 4k Ptv50m8gagcmbl Android Tv Led Bivolt	1571567709	0	2299.92		Televisao	2023-10-04
Oferta	10	Smart Tv 40 Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B	1571389671	0	1548.00	1393.20	Televisao	2023-10-04
Oferta	36	Smart Tv Samsung 65 Crystal Uhd 4k 65cu8000 2023 Painel Dyna	1571333655	0	3805.28	3805.29	Televisao	2023-10-04
Oferta	17	Smart Tv 32 Philco Led Ptv32g23agssblh Android Tv Bivolt	1571598069	0	1159.92	1159.90	Televisao	2023-10-04
		Smart Tv Led 24 Hd Hq Hqstv24np Netflix Youtube Hdmi Usb Wi	1570267263	0	1029.92		Televisao	2023-10-04
		Smart Tv Led 50 Ultra Hd 4k Samsung Lh50beahvggxzd Crystal 3	1567588962	0	2498.96		Televisao	2023-10-04
Oferta	5	Smart Tv Hd Aoc Roku Led 32 32s5135/78g, Wifi, 3 Hdmi, 1 U	1571134022	0	1094.88	1094.90	Televisao	2023-10-04
		Smart Tv 43 Polegadas Led Hd Roku 3 Hdmi 1 Usb Aoc	1571254306	0	1714.00		Televisao	2023-10-04
		Smart Tv 43pfg6918 43 Polegadas Full Hd Borderless Android Ph	1571598068	0	1899.92		Televisao	2023-10-04
		Smart Tv Android Led 32 Full Hd Tcl 32s5400af Google Assista	1571535138	0	1488.96		Televisao	2023-10-04
Oferta	10	Tv 32 Philco Led Ptv32t10edp Hd Recepcao Digital Bivolt	1570848799	0	1118.00	1006.20	Televisao	2023-10-04
Oferta	6	Smart Tv 55 Philco Ptv55g7eagcpbl 4k Led Dolby Audio Bivolt	1571567707	0	2799.92	2799.90	Televisao	2023-10-04
Oferta	56	Smart Tv Philco Led 50 Polegadas 4k Uhd 2 Usb 4 Hdmi Wi Fi	1566982230	0	2199.92	2199.90	Televisao	2023-10-04
		Smart Tv Samsung 65 Uhd 4k 65cu7700 2023 Processador Crysta	1571333662	0	4198.96		Televisao	2023-10-04
		Smart Tv Lg 4k Nanocell 50 Polegadas 50nano77sra Bluetooth,	1571511321	0	2368.00		Televisao	2023-10-04
		Smart Tv Samsung 43 Uhd 4k 43cu7700 2023 Processador Crystal	1571333654	0	2771.12		Televisao	2023-10-04
Oferta	22	Smart Tv Aiwa 32 Android, Hd, Comando De Voz, Dolby Áudio, H	1571099297	0	1408.88	1408.90	Televisao	2023-10-04
		Tv Lg 50 Led 4k Uhd Smart Pro 50uq801c0sb.bwz	1570692512	0	3498.96		Televisao	2023-10-04
Oferta	10	Tv 24 Philco Led Ptv24n19d Hd Receptor Digital Bivolt	1567296780	0	972.08	874.91	Televisao	2023-10-04
Oferta	16	Smart Tv 43 Pol Android Dled 2 Hdmi 2 Usb Wifi Aiwa	1571176426	0	1798.80	1798.80	Televisao	2023-10-04
		Samsung Smart Tv 32 Qled The Frame 2023 Ls03c Tela Matte D	1571440093	0	3428.96		Televisao	2023-10-04
		Smart Tv Led 24 Hq 2 Hdmi 2 Usb Wifi Android 11 E Processad	1570799036	0	798.98		Televisao	2023-10-04
		Samsung Smart Tv Tizen Fhd T5300 2020 Hdr 43	1567043702	0	1898.96		Televisao	2023-10-04
		Smart Tv Tcl 65 4k Uhd Hdr Dolby Vision Borda Fina 65p735 –	1570851240	1	2848.00		Televisao	2023-10-04
		Smart Tv Samsung 70 Crystal Uhd 4k 70cu8000 2023 Painel Dyn	1571333652	0	7898.96		Televisao	2023-10-04
Oferta	10	Smart Tv Tcl 50 4k Uhd Hdr Google Assistant Borda Fina 506p6	1570652192	0	2378.00	2140.20	Televisao	2023-10-04
		Smart Tv Lg 32 Fhd Com Inteligência Artificial 32lq620bpsb –	1570476645	1	1544.88		Televisao	2023-10-04
Oferta	10	Smart Tv 58 Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi	1571199451	0	3298.00	2968.20	Televisao	2023-10-04
		Smart Tv 43 Lg 4k Uhd Thinq Ai Hdr Bluetooth Alexa Google As	1571592318	0	2398.96		Televisao	2023-10-04
Oferta	30	Smart Tv 42 Philco Led Ptv42g52rcf Roku Tv Dolby Audio Bivolt	1567868039	0	1599.92	1599.90	Televisao	2023-10-04
		Smart Tv Samsung 50 Uhd 4k 50cu7700 2023 Processador Crysta	1571333656	0	2498.96		Televisao	2023-10-04
Oferta	33	Samsung Smart Tv 50 Qled The Frame 2022 50ls03b Tela Matte	1569938133	0	3998.96	3999.00	Televisao	2023-10-04
		Smart Tv Tcl 55 4k Uhd Hdr Google Assistant Borda Fina 55p63	1571503871	0	2188.00		Televisao	2023-10-04
		Smart Tv Led 43 Samsung Lh43bet Full Hd	1567040079	0	1898.96		Televisao	2023-10-04
		Smart Tv Semp 50 4k Uhd Hdr Roku Wifi Dual Band Rk8600 – Biv	1571045103	0	2694.96		Televisao	2023-10-04
		Smart Tv 43 Philco Ptv43g7er2cpblf Led Dolby Audio Bivolt	1571503799	0	1699.92		Televisao	2023-10-04
Oferta	36	Smart Tv Samsung 65 Crystal Uhd 4k 65cu8000 2023 Painel Dyna	1571333655	0	3805.28	3805.29	Televisao	2023-10-04
		Samsung Smart Tv Qled 4k Q60c 2023 Modo Game Tela Sem Limit	1571311421	0	3307.92		Televisao	2023-10-04
		Smart Tv Led 24 Hd Hq Hqstv24np Netflix Youtube Hdmi Usb Wi	1570267263	0	1029.92		Televisao	2023-10-04
Oferta	10	Smart Tv 40 Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B	1571389671	0	1548.00	1393.20	Televisao	2023-10-04
Oferta	5	Smart Tv Hd Aoc Roku Led 32 32s5135/78g, Wifi, 3 Hdmi, 1 U	1571134022	0	1094.88	1094.90	Televisao	2023-10-04
Oferta	6	Smart Tv 55 Philco Ptv55g7eagcpbl 4k Led Dolby Audio Bivolt	1571567707	0	2799.92	2799.90	Televisao	2023-10-04
Oferta	56	Smart Tv Philco Led 50 Polegadas 4k Uhd 2 Usb 4 Hdmi Wi Fi	1566982230	0	2199.92	2199.90	Televisao	2023-10-04
		Smart Tv Lg 86 4k Nanocell Com Inteligência Artificial Ai Th	1570765749	0	(None, None)		Televisao	2023-10-04
		Smart Tv Led Hq Hd 32 Hqstv32np  Bivolt	1568255406	1	918.96		Televisao	2023-10-04
Oferta	20	Combo Samsung Smart Tv 55 Qled 4k Q65c  Soundbar Samsung Hw	1571527745	0	3898.96	3899.00	Televisao	2023-10-04
Oferta	33	Smart Tv Samsung 85 Crystal Uhd 4k 85cu8000 2023 Painel Dyna	1571333653	0	(None, None)	10695.29	Televisao	2023-10-04
Oferta	24	Samsung Smart Tv 55 Qled 4k Q70c 2023 Modo Game Som Em Mov	1571385061	0	3752.32	3752.29	Televisao	2023-10-04
		Smart Tv Android Led 43 Full Hd Philips 43pfg6917 3 Hdmi 2 U	1570582442	0	2102.96		Televisao	2023-10-04
Oferta	21	Smart Tv 32 Philco Led Ptv32g7pr2csblh Roku Tv Dolby Audio B	1571389674	0	1099.92	1099.90	Televisao	2023-10-04
		Samsung Smart Tv 75 Qled 4k Q70c 2023 Modo Game Som Em Mov	1571385060	0	(None, None)		Televisao	2023-10-04
Oferta	17	Smart Tv Samsung 55 Crystal Uhd 4k 55cu8000 2023 Painel Dyna	1571336243	0	3031.52	3031.49	Televisao	2023-10-04
Oferta	15	Tv Philips 32 Polegadas 32phg6918 Smart Andr 3 Hdmi 2 Usb Wif	1571560954	0	1320.80	1320.80	Televisao	2023-10-04
		Smart Tv Lg Lcd 55 Uhd Thinq Ai Hdr Bluetooth Alexa Google A	1571492414	0	3088.88		Televisao	2023-10-04
Oferta	21	Smart Tv Lg 4k Nanocell 55 Polegadas 55nano77sra Bluetooth,	1571511320	0	3534.96	3535.00	Televisao	2023-10-04
		Smart Tv 55 Polegadas 55pug7406/78 Dled Uhd 4k Netflix Youtub	1569135058	0	3500.00		Televisao	2023-10-04
		Smart Tv Samsung 50 Qled 4k Pontos Quânticos 2023 Qn50q60cag	1571288887	0	2898.96		Televisao	2023-10-04
Oferta	46	Samsung Smart Tv 55 Neo Qled 8k 55qn700b 2022 Mini Led Pro	1570765754	0	6648.96	6649.00	Televisao	2023-10-04
		Smart Tv Android Led 43 Full Hd Tcl 43s5400a Google Assistan	1571540589	0	2204.96		Televisao	2023-10-04
		TV LED 32 HQ HD com Conversor Digital Externo 2 HDMI 2 USB e	1570438725	2	769.02		Televisao	2023-10-04
Oferta	43	Smart Tv Oled 4k Uhd 65 Polegadas Samsung 4 Hdmi 2 Usb 144hz	1571483065	0	(None, None)	11797.69	Televisao	2023-10-04
Oferta	8	Smart Tv Led 32 Polegadas 2 Hdmi 1 Usb Wifi Samsung Un32t430	1567043703	4	1137.28	1137.30	Televisao	2023-10-04
Oferta	31	Samsung Smart Tv 43 Qled The Frame 2022 43ls03b Tela Matte	1569938134	0	3548.96	3549.00	Televisao	2023-10-04
		Smart Tv Samsung 58 Uhd 4k 58cu7700 2023 Processador Crysta	1571333660	0	2898.96		Televisao	2023-10-04
		Smart Tv Samsung Crystal Uhd 4k 43cu8000 2023 Design Airslim	1571336242	1	2148.96		Televisao	2023-10-04
		Suporte Pedestal Para Caixas Surround Home Theater Som Cinema	1571377493		(None, None)		Home Theater	2023-10-04
		Soundbar Heritage Theatre Bar 49,5'' Klipsch	1570906465	0	(None, None)		Home Theater	2023-10-04
		Caixa De Som Klipsch Surround 3 Para Soundbar	1570906466	0	3899.92		Home Theater	2023-10-04
		Estante Para Home Theater E Tv Ate 60 Polegadas Atacama Off W	1571580358	0	749.00		Home Theater	2023-10-04
		Kit Smart Home Com Sensores Inteligentes Xiaomi Branco	1567170410	0	850.00		Home Theater	2023-10-04
		Suporte Caixa Acustica Surround Home Cinema Discreto Facil In	1571377494		(None, None)		Home Theater	2023-10-04
		Painel Home Com Led Para Tv Ate 75 Polegadas Milao Carvalho	1571491590	0	1042.00		Home Theater	2023-10-04
		Soundbar Philco Psb04t Bluetooth Bivolt	1566773610	0	1399.92		Home Theater	2023-10-04
Oferta	29	Soundbar Samsung Hws800b Com 3.1.2 Canais Dolby Atmos Sin	1570730910	0	3098.96	3099.00	Home Theater	2023-10-04
		Soundbar Philips Tab5305/78 2.1 Canais Subwoofer Wireless 70w	1569876047	0	873.92		Home Theater	2023-10-04
		Soundbar Bluetooth Jbl Sb140blkbr, 2.1 Canais, Hdmi, Preta, 6	1568547114	0	820.56		Home Theater	2023-10-04
		Soundbar Samsung Hwq990c Wireless Dolby Atmos Sincronia Son	1571495179	0	(None, None)		Home Theater	2023-10-04
Oferta	7	Soundbar Samsung Hwq930c Wireless Dolby Atmos Sincronia Son	1571489103	0	5066.72	5066.69	Home Theater	2023-10-04
Oferta	12	Caixa Amplificada Party Box Bluetooth 600 Watts Pbx600 Mondi	1571175211	0	629.88	629.90	Home Theater	2023-10-04
		Caixa De Som Portatil Com Bluetooth Jbl Xtreme 3 Com Potência	1568025938	0	1841.36		Mini System	2023-10-04
Oferta	34	Mini System Ms 8600 Lenoxx	1566943437	0	279.98	279.99	Mini System	2023-10-04
Oferta	14	Mini System Lg X Boom, 3500w Rms, Multi Bluetooth, Com Contro	1567048766	0	4669.68	4669.70	Mini System	2023-10-04
		Maleta Vitrola Toca Disco Vinil Bluetooth Usb Classico Retro	1571502686	0	498.00		Vitrolas	2023-10-04
		Tocadiscos Conversor Digital Altofalantes E Transm. Sem Fio	1566953142	0	1449.92		Vitrolas	2023-10-04
		Toca Discos Portatil Em Maleta Com Conversao Digital De Vinil	1567507269	0	1529.92		Vitrolas	2023-10-04
		Tocadiscos De Vinil Ion C/ Conversao Para Formato Digital E	1567507270	0	739.90		Vitrolas	2023-10-04
		Toca Discos E Digitalizador Em Maleta Retrô Na Cor Marrom	1567483285	0	999.92		Vitrolas	2023-10-04
		Agulha Para Toca Discos Sjn68 Link 1	1571201815		(None, None)		Vitrolas	2023-10-04
		Vitrola Raveo Stadio bluetooth Bivolt  Marrom	1567377331	0	1255.60		Vitrolas	2023-10-04
		Tocadiscos Vinil Bronco Lp Ion C/ Radio, Usb, Entrada Auxili	1566981538	0	1129.92		Vitrolas	2023-10-04
		Tocadiscos Vinil Com Altofalantes, Conversao Para O Formato	1567138434	0	1449.92		Vitrolas	2023-10-04
		Cabo Lighting Iphone 8 Pinos 1 Metro Branco Multilaser Wi328	1567719735		(None, None)		Fones De Ouvido	2023-10-04
		Cabo Usb Evus Fast Charge Micro Usb 5p 1.0m C054 Pto Blistr	1567493888		(None, None)		Fones De Ouvido	2023-10-04
		Cabo Usb Evus Fast Charge Type C 1.0m C059 Silver	1567493862		(None, None)		Fones De Ouvido	2023-10-04
		Carregador Veicular 2 X Usb E Cabo Usbc Com 1,80 M	1567505035		(None, None)		Fones De Ouvido	2023-10-04
		Carregador Veicular Lightning Durapower Com Kevlar E Extensao	1567505040		(None, None)		Fones De Ouvido	2023-10-04
		Cabo Otg Evus Type C Para Usb 2.0 C077 15cm	1567493882		(None, None)		Fones De Ouvido	2023-10-04
